Algorithm,Avg_Reward,Std_Reward,Avg_Length,Mean_Hunger,Mean_Thirst
DQN,402.77697324946485,7.934259981356287,45.0,0.05778316550023029,0.2906666666666667
PPO,403.67283170707503,5.131925451578388,45.0,0.05907967555258013,0.2893333333333333
A2C,400.66561250939947,7.171561829200014,45.0,0.05027215120080447,0.36570000000000014
REINFORCE,411.3290246276556,6.542452346151627,45.0,0.09137987706296978,0.21382222222222227
