run_id,episode,reward
1,1,371.9010028302667
1,2,331.1010535627601
1,3,379.38650502860526
1,4,377.93910712450725
1,5,335.6475307390092
2,1,387.6056848585603
2,2,392.7961509823797
2,3,393.1442779868839
2,4,397.85721921175696
2,5,398.5463228181003
3,1,407.68255531787855
3,2,315.10969409048533
3,3,353.4206475704906
3,4,388.5011186778543
3,5,392.7858407855032
4,1,371.1053944826124
4,2,386.2808445334432
4,3,333.353252494335
4,4,382.0986584752796
4,5,387.8230762183664
5,1,398.5230805784462
5,2,384.0090364515779
5,3,385.1971217244861
5,4,394.45438085496403
5,5,391.6797681659458
6,1,394.78800621926763
6,2,385.08332869708516
6,3,387.73134175837015
6,4,397.44719656407807
6,5,395.3783733278511
7,1,312.01109805256107
7,2,359.2831016063688
7,3,354.40299120545365
7,4,351.3814151227472
7,5,348.74699799120407
8,1,340.46799005269975
8,2,374.94795628190013
8,3,382.3028363764284
8,4,348.5603685885666
8,5,382.65739445090276
9,1,389.3293174087999
9,2,387.75189306735973
9,3,395.4484899193046
9,4,388.76432042121866
9,5,390.0105307906864
10,1,396.653891021013
10,2,384.44888674020746
10,3,391.26718189418295
10,4,390.15158076584316
10,5,388.0661728322504
11,1,393.05266378521895
11,2,393.98331116735915
11,3,391.3465115845201
11,4,398.137346306443
11,5,390.80603104829765
12,1,405.2326823174951
12,2,406.3582913756368
12,3,397.83327543437457
12,4,384.48202892839885
12,5,403.03202350735637
13,1,391.49942928552605
13,2,409.0611868202684
13,3,411.2112016141412
13,4,403.00616917908167
13,5,398.762550255656
14,1,400.66809652447677
14,2,390.8800047010181
14,3,401.9037333577869
14,4,406.70846866369226
14,5,400.24182076752163
15,1,379.40572071075417
15,2,378.7936092883346
15,3,398.1110991507766
15,4,397.45058390200114
15,5,407.7672926813362
16,1,404.1564264625309
16,2,394.8679577976463
16,3,380.34856431782225
16,4,404.29994369447206
16,5,404.92032581865766
17,1,377.2112068772314
17,2,389.31078971922375
17,3,341.41615571379634
17,4,387.71793881952743
17,5,392.78489604890325
18,1,397.97018252909163
18,2,390.7310877799985
18,3,396.4467471778391
18,4,396.3574366062877
18,5,382.8408399045465
19,1,380.97798525094964
19,2,389.31854966580846
19,3,388.1649391472337
19,4,387.0627958416936
19,5,360.56542578339554
20,1,380.526429364085
20,2,382.0421509385107
20,3,328.7230930805204
20,4,387.5806707531211
20,5,395.0451350837944
21,1,394.0828784406183
21,2,398.55006898045514
21,3,395.9183459252117
21,4,399.6180008441208
21,5,381.4516100555656
22,1,337.7488640233872
22,2,355.10944082140895
22,3,317.6441981017587
22,4,359.74391896724677
22,5,329.6348364651201
23,1,387.0328930854795
23,2,397.4937675803898
23,3,377.0858956187962
23,4,388.1411504000423
23,5,382.13454740643476
24,1,384.8244193986056
24,2,392.08925219476197
24,3,385.4680595010517
24,4,385.06442352235297
24,5,390.11328352987744
25,1,399.7879377335308
25,2,399.7717659980056
25,3,405.7476051867006
25,4,409.4367621362207
25,5,391.99763005971886
26,1,397.8234119594095
26,2,391.25565784275506
26,3,399.527547752857
26,4,402.01165791153886
26,5,398.5159174859522
27,1,395.69289321303347
27,2,401.41919573843455
27,3,403.1290241181848
27,4,401.32324234545206
27,5,399.85887450873827
28,1,390.44726094007467
28,2,403.5121357202528
28,3,405.11735245287394
28,4,402.74686790406685
28,5,406.48280358016467
29,1,380.2402736395595
29,2,388.60323407053926
29,3,391.55311188101746
29,4,393.15502079725246
29,5,394.49737843871094
30,1,346.33232696950415
30,2,370.25543167889094
30,3,384.1579185098407
30,4,378.97858463823775
30,5,372.61548556983445
31,1,375.51312459111193
31,2,371.6078320205209
31,3,378.7161746203897
31,4,369.41178557276703
31,5,388.21807219088055
32,1,393.49281337261175
32,2,387.57823053002335
32,3,394.8940337926147
32,4,401.2841174066064
32,5,391.875710955262
